,Unnamed: 0,Date Created,Number of Likes,Source of Tweet,Tweets,TweetsNoStop,VADARpredictions
0,0,2022-09-28 14:32:43+00:00,1,Twitter for iPhone,Congrats @hoxtonfarms 🎉,Congrats hoxtonfarms,positive
1,1,2022-09-27 13:16:44+00:00,0,Twitter Web App,📢Last few days to apply for this role at @RoslinTech ⬇️ #ScienceJobs,Last few days to apply for this role at RoslinTech ScienceJobs,neutral
2,2,2022-07-01 11:40:58+00:00,4,Twitter Web App,"Check out this amazing initiative from @GoodFoodEurope and @EITFood:

#CultivatedMeat #SustainableProteins

https://t.co/80CLblfMeN",Check out this amazing initiative from GoodFoodEurope and EITFoodCultivatedMeat SustainableProteins,positive
3,3,2022-06-10 12:08:04+00:00,3,Twitter Web App,Check out this excellent summary from @linuspardoe on their new paper out today:,Check out this excellent summary from linuspardoe on their new paper out today,positive
4,4,2022-06-10 11:53:44+00:00,4,Twitter Web App,Can't wait for a conference like this to happen in the UK. All those people trying cell ag salmon and cell ag cream cheese!! #FutureOfFood,Cant wait for a conference like this to happen in the UK All those people trying cell ag salmon and cell ag cream cheese FutureOfFood,positive
5,5,2022-05-25 08:17:45+00:00,4,Twitter for iPhone,"There are less than 2 weeks to apply to @GoodFoodInst 2022 call for research proposals. This grant programme is open to scientists around the world.

You can download the RFP at https://t.co/WMmDM5WoMZ.

Apply by June 3! #AlternativeProteins #CultivatedMeat #Fermentation",There are less than 2 weeks to apply toGoodFoodInst 2022 call for research proposals This grant programme is open to scientists around the worldYou can download the RFP atApply by June 3 AlternativeProteins CultivatedMeat Fermentation,positive
6,6,2022-05-24 10:04:00+00:00,4,Twitter for iPhone,🚨 Event alert! This Thursday: #CultivatedMeat,Event alert This Thursday CultivatedMeat,positive
7,7,2022-05-18 19:28:22+00:00,3,Twitter for iPhone,👏👏👏we couldn’t agree more!,we couldnt agree more,negative
8,8,2022-05-18 19:27:18+00:00,6,Twitter for iPhone,📣Event alert! Another fantastic seminar from those fab people at @GoodFoodScience,Event alert Another fantastic seminar from those fab people at GoodFoodScience,positive
9,9,2022-05-09 16:21:17+00:00,4,Twitter for iPhone,"📣Job alert from the lovely people @mosa_meat #AlternativeProteins 

https://t.co/6nqJ8Kc9HP",Job alert from the lovely people mosameat AlternativeProteins,positive
10,10,2022-05-09 16:11:33+00:00,2,Twitter for iPhone,@hoxtonfarms @mirasbek Hi @mirasbek 👋👋👋,hoxtonfarms mirasbek Hi mirasbek,neutral
11,11,2022-04-30 10:53:14+00:00,4,Twitter for iPhone,"📣Calling all Cambridge students, alumni and staff ⬇️⬇️⬇️",Calling all Cambridge students alumni and staff,neutral
12,12,2022-04-30 10:51:25+00:00,1,Twitter for iPhone,Another interesting seminar coming up from @GoodFoodScience ⬇️,Another interesting seminar coming up from GoodFoodScience,positive
13,13,2022-04-28 12:38:58+00:00,3,Twitter Web App,👏👏👏,,neutral
14,14,2022-04-26 18:48:03+00:00,2,Twitter Web App,📢 Attention all scientists! @GoodFoodEurope are taking applications for research grants. See below for more details ⬇️ #AlternativeProteins,Attention all scientists GoodFoodEurope are taking applications for research grants See below for more details AlternativeProteins,positive
15,15,2022-04-18 15:48:43+00:00,1,Twitter for iPhone,Starting soon! ⬇️,Starting soon,neutral
16,16,2022-04-18 08:01:47+00:00,7,Twitter for iPhone,Tune in later for @GoodFoodInst first-ever Twitter Space. #AlternativeProteins,Tune in later for GoodFoodInst firstever Twitter Space AlternativeProteins,neutral
17,17,2022-04-15 08:30:00+00:00,0,Twitter Web App,"Applications for the Alt Protein Project are now live! Through the Alt Protein Project, student groups work with @GoodFoodInst to build alternative protein courses, research projects, and startups at their universities. #AlternativeProteins

https://t.co/LmMOqINast",Applications for the Alt Protein Project are now live Through the Alt Protein Project student groups work with GoodFoodInst to build alternative protein courses research projects and startups at their universities AlternativeProteins,neutral
18,18,2022-04-14 11:30:00+00:00,0,Twitter Web App,"Applications for the Alt Protein Project are now live! @GoodFoodInst are looking for motivated, visionary students that can lead their universities to transform our food system. #AlternativeProteins

https://t.co/LmMOqINast",Applications for the Alt Protein Project are now live GoodFoodInst are looking for motivated visionary students that can lead their universities to transform our food system AlternativeProteins,positive
19,19,2022-04-14 09:00:02+00:00,1,Twitter Web App,📢 Event Alert - tonight! Come and join our friendly Journal Club. #CellularAgriculture,Event Alert tonight Come and join our friendly Journal Club CellularAgriculture,positive
20,20,2022-04-13 14:00:01+00:00,1,Twitter Web App,"Want to come and discuss this paper:
https://t.co/agH5rEGb23
Then please come and join our Journal Club on Thursday 14th at 5.30pm. DM for details! #CellularAgriculture",Want to come and discuss this paperThen please come and join our Journal Club on Thursday 14th at 530pm DM for details CellularAgriculture,positive
21,21,2022-04-13 09:00:03+00:00,1,Twitter Web App,"Our next journal club is on Thursday 14th at 5.30pm and we will be discussing this paper: 
https://t.co/agH5rEGb23
Everyone welcome - please come and join this friendly discussion! #CellularAgriculture",Our next journal club is on Thursday 14th at 530pm and we will be discussing this paper Everyone welcome please come and join this friendly discussion CellularAgriculture,positive
22,22,2022-03-29 11:04:42+00:00,3,Twitter Web App,Are there any high school (secondary school) students in our community? Then have a look at this amazing initiative from @cellagcanada and @cellagri_jp below ⬇️,Are there any high school secondary school students in our community Then have a look at this amazing initiative from cellagcanada and cellagrijp below,positive
23,23,2022-03-28 08:30:00+00:00,6,Twitter Web App,📢 Event alert! This will be great if you are interested in finding out more about alternative proteins.,Event alert This will be great if you are interested in finding out more about alternative proteins,positive
24,24,2022-03-24 10:00:02+00:00,9,Twitter Web App,"We have an exciting new project starting! We are working on mapping the potential of UK universities to become cellular agriculture teaching and research hubs. Check out our crowdfunding campaign here: 
https://t.co/U4imebWQsM",We have an exciting new project starting We are working on mapping the potential of UK universities to become cellular agriculture teaching and research hubs Check out our crowdfunding campaign here,positive
25,25,2022-03-14 10:31:00+00:00,1,Twitter Web App,"📢 Job Alert (in fact several jobs!) at the fabulous @hoxtonfarms #AlternativeProtein

https://t.co/uXATCiIv5Q",Job Alert in fact several jobs at the fabulous hoxtonfarms AlternativeProtein,positive
26,26,2022-03-14 08:09:30+00:00,0,Twitter Web App,@GoodFoodScience Thanks @GoodFoodScience ! Appreciate the share 😊,GoodFoodScience Thanks GoodFoodScience Appreciate the share,positive
27,27,2022-03-12 21:35:52+00:00,6,Twitter Web App,"What to have a newsletter arrive in your inbox every month with updates from the field of #CellularAgriculture including news, events, jobs, and more? Then sign up on our website! 

https://t.co/9aqh93hnoD",What to have a newsletter arrive in your inbox every month with updates from the field of CellularAgriculture including news events jobs and more Then sign up on our website,neutral
28,28,2022-03-10 10:30:31+00:00,0,Twitter Web App,Join us today at 6pm for our #JournalClub All welcome!,Join us today at 6pm for our JournalClub All welcome,positive
29,29,2022-03-09 09:18:08+00:00,0,Twitter for iPhone,"Sign up to join us! Or to be on the mailing list for future Journal Clubs:

https://t.co/iGOpj88zCK",Sign up to join us Or to be on the mailing list for future Journal Clubs,positive
30,30,2022-03-09 09:06:14+00:00,0,Twitter for iPhone,"Join us for our #JournalClub this Thursday (10th) at 6pm to discuss this paper:

https://t.co/uHO1hY5gEO",Join us for our JournalClub this Thursday 10th at 6pm to discuss this paper,positive
31,31,2022-03-07 13:37:00+00:00,0,Twitter Web App,We are looking forward to it!,We are looking forward to it,neutral
32,32,2022-03-04 17:31:53+00:00,3,Twitter Web App,📢 Event alert! This presentation and Q&amp;A session from @GoodFoodScience will be a great place to start if you are interested in a career in #AlternativeProteins,Event alert This presentation and QampA session from GoodFoodScience will be a great place to start if you are interested in a career in AlternativeProteins,positive
33,33,2022-02-22 12:30:00+00:00,4,Twitter Web App,"Not long until the #FPPSummit2022  - check out their website to see all the incredible speakers working to create the #futureofaltprotein

https://t.co/qHbtpC8UcM",Not long until the FPPSummit2022 check out their website to see all the incredible speakers working to create the futureofaltprotein,positive
34,34,2022-02-21 19:17:18+00:00,4,Twitter Web App,Absolutely amazing! Great to see more and more open-resource research in the field! 👏🤓,Absolutely amazing Great to see more and more openresource research in the field,positive
35,35,2022-02-12 21:12:35+00:00,0,Twitter Web App,"#InternationalDayOfWomenAndGirlsInScience 

https://t.co/GfQFovdfkG",InternationalDayOfWomenAndGirlsInScience,neutral
36,36,2022-02-11 15:52:27+00:00,5,Twitter Web App,"Great discussion during our Journal Club yesterday! Looking forwards to the next one! ☺️
If you haven't yet, you can sign up here https://t.co/EH8COvFG7V https://t.co/VuUK0sOmK0",Great discussion during our Journal Club yesterday Looking forwards to the next one If you havent yet you can sign up here,positive
37,37,2022-02-09 14:17:30+00:00,1,Twitter Web App,It's not too late to register for our journal club that is taking place tomorrow (10 Feb) at 17.30 UK time - details below ⬇️ #CAUKJournalClub,Its not too late to register for our journal club that is taking place tomorrow 10 Feb at 1730 UK time details below CAUKJournalClub,neutral
38,38,2022-02-03 10:30:00+00:00,2,Twitter Web App,"Our next journal club will take place on 10th Feb 6pm GMT. Anybody is welcome to come along (virtually) and be part of our discussions about Cell-Ag related scientific papers. Please sign up to join us! ⬇️ 
https://t.co/iGOpj88zCK",Our next journal club will take place on 10th Feb 6pm GMT Anybody is welcome to come along virtually and be part of our discussions about CellAg related scientific papers Please sign up to join us,positive
39,39,2022-02-03 09:23:34+00:00,1,Twitter Web App,"Our next journal club will take place on 10th February at 5.30 pm. If you want to come along (virtually) and be part of our discussions about Cell-Ag related scientific papers then please sign up 🔽 Everybody welcome!

https://t.co/CwnqzFF9gF",Our next journal club will take place on 10th February at 530 pm If you want to come along virtually and be part of our discussions about CellAg related scientific papers then please sign up Everybody welcome,positive
40,40,2022-02-01 21:50:47+00:00,2,Twitter Web App,📢 Job Alert @higher_steaks ⬇️,Job Alert highersteaks,positive
41,41,2022-01-25 09:50:47+00:00,0,Twitter Web App,"Have you seen the speaker lineup for The Future of Protein Production Summit 2022? Early-bird passes still available (until 31st January). Students/academics DM us to get a discount code for an extra 20%! #FPPSummit2022 
https://t.co/ILHWq9Ab3T",Have you seen the speaker lineup for The Future of Protein Production Summit 2022 Earlybird passes still available until 31st January Studentsacademics DM us to get a discount code for an extra 20 FPPSummit2022,neutral
42,42,2022-01-24 10:45:17+00:00,1,Twitter Web App,📢 Job Alert!,Job Alert,positive
43,43,2022-01-21 12:41:58+00:00,5,Twitter Web App,Episode 99 of @futurefoodshow features @Jamie_Harris_94 one of the founders of Cellular Agriculture UK. Lots of other great episodes in the podcast series featuring lots of interesting people in the world of cellular agriculture - definitely check them out! #CellularAgriculture,Episode 99 of futurefoodshow features JamieHarris94 one of the founders of Cellular Agriculture UK Lots of other great episodes in the podcast series featuring lots of interesting people in the world of cellular agriculture definitely check them out CellularAgriculture,positive
44,44,2022-01-21 12:37:16+00:00,1,Twitter Web App,@AnitaBroellochs @futurefoodshow 👏👏👏,AnitaBroellochs futurefoodshow,neutral
45,45,2022-01-13 11:33:02+00:00,2,Twitter Web App,📢 Event alert. If you want to find out more about cellular agriculture then this talk will be perfect! #CellularAgriculture,Event alert If you want to find out more about cellular agriculture then this talk will be perfect CellularAgriculture,positive
46,46,2021-12-24 08:32:00+00:00,3,Twitter Web App,"Sanity check, so we don't forget that this is just the beginning, and there's still a lot of work before this becomes reality",Sanity check so we dont forget that this is just the beginning and theres still a lot of work before this becomes reality,positive
47,47,2021-12-18 19:34:36+00:00,7,Twitter Web App,This is a great place to start if you are interested in the field of cellular agriculture.,This is a great place to start if you are interested in the field of cellular agriculture,positive
48,48,2021-12-17 14:25:06+00:00,1,Twitter Web App,@TableDebates @ifstal @LEAP_Oxford @SLUFutureFood @ENPWageningen @oxfutureoffood @ecioxford @oxfordgeography A busy year! 👏👏👏 Here's to an equally busy 2022!,TableDebates ifstal LEAPOxford SLUFutureFood ENPWageningen oxfutureoffood ecioxford oxfordgeography A busy year Heres to an equally busy 2022,neutral
49,49,2021-12-17 14:22:51+00:00,5,Twitter Web App,📢 Networking event alert! Something to get booked in your diaries for January from @GoodFoodScience. For students looking to get into alt proteins and scientists already in the field looking for collaborators. #AltProteinEvent #CultivatedMeatEvent,Networking event alert Something to get booked in your diaries for January from GoodFoodScience For students looking to get into alt proteins and scientists already in the field looking for collaborators AltProteinEvent CultivatedMeatEvent,positive
50,50,2021-12-15 08:23:39+00:00,3,Twitter Web App,Taste testing of a cultivated meat hotdog - amazing @ivyfarm_tech ! #CultivatedMeat,Taste testing of a cultivated meat hotdog amazing ivyfarmtech CultivatedMeat,positive
51,51,2021-12-10 12:41:45+00:00,2,Twitter Web App,📢 Event alert! Wednesday 15th December join OUTbio UK at their final event of the year for some fun filled festive drinks. 🎄🌈 Flyer below ⬇️ #BioTechEvents https://t.co/xsy0poRDHr,Event alert Wednesday 15th December join OUTbio UK at their final event of the year for some fun filled festive drinks Flyer below BioTechEvents,positive
52,52,2021-12-10 10:15:48+00:00,2,Twitter Web App,📢 Want to learn more about getting into the field of alternative proteins? Then @GoodFoodScience have an event just for you! Details below ⬇️ #AltProteins,Want to learn more about getting into the field of alternative proteins Then GoodFoodScience have an event just for you Details below AltProteins,positive
53,53,2021-12-08 10:29:09+00:00,2,Twitter Web App,Not long to go until The Cellular Agriculture: End of Year Summit 2021!,Not long to go until The Cellular Agriculture End of Year Summit 2021,neutral
54,54,2021-12-08 10:25:47+00:00,1,Twitter Web App,This looks like another great event by @GoodFoodScience on the 15th December. 🐟,This looks like another great event by GoodFoodScience on the 15th December,positive
55,55,2021-12-03 14:32:08+00:00,3,Twitter Web App,Looks like an interesting topic!,Looks like an interesting topic,positive
56,56,2021-11-24 21:24:14+00:00,0,Twitter Web App,Congratulations @shiokmeats 👏 A momentous accomplishment indeed. #CultivatedSeafood,Congratulations shiokmeats A momentous accomplishment indeed CultivatedSeafood,positive
57,57,2021-11-24 18:00:01+00:00,4,Twitter Web App,@Protein_Report have a 20% off discount for @cellagritech End of Year Summit 2021. Looks like it's going to be a great event. #CellularAgriculture,ProteinReport have a 20 off discount for cellagritech End of Year Summit 2021 Looks like its going to be a great event CellularAgriculture,positive
58,58,2021-11-24 14:00:03+00:00,3,Twitter Web App,"@cellagritech are hosting an End of Year Summit 2021 #CellularAgriculture  
https://t.co/dK2Fu2P6X4",cellagritech are hosting an End of Year Summit 2021 CellularAgriculture,neutral
59,59,2021-11-24 09:41:26+00:00,1,Twitter Web App,Online seminar on the 15th December from the @GoodFoodScience Looks really interesting! 🐟 #CultivatedMeat,Online seminar on the 15th December from the GoodFoodScience Looks really interesting CultivatedMeat,positive
60,60,2021-11-23 07:15:54+00:00,2,Twitter for iPhone,Want to work in the alternative protein field? @GoodFoodInst have a talk that might interest you! #AlternativeProtein,Want to work in the alternative protein field GoodFoodInst have a talk that might interest you AlternativeProtein,positive
61,61,2021-11-22 21:58:08+00:00,1,Twitter Web App,"Event alert in 2 days! 📢A talk by Andras Forgacs from @ModernMeadow on cultured leather, hosted by Cambridge Uni's Jesus College https://t.co/dIUG41Y7OW",Event alert in 2 days A talk by Andras Forgacs from ModernMeadow on cultured leather hosted by Cambridge Unis Jesus College,positive
62,62,2021-11-16 13:55:36+00:00,9,Twitter Web App,"The world's first cultivated meat hot dog, cooked and eaten at COP26! 🌭 #CultivatedMeat",The worlds first cultivated meat hot dog cooked and eaten at COP26 CultivatedMeat,neutral
63,63,2021-11-10 15:18:11+00:00,1,Twitter for iPhone,‘The cow that could feed the planet’ #cultivatedmeat,The cow that could feed the planet cultivatedmeat,neutral
64,64,2021-11-10 13:32:59+00:00,2,Twitter Web App,See you tonight at 7pm! 😁📢,See you tonight at 7pm,neutral
65,65,2021-11-08 18:44:09+00:00,1,Twitter Web App,Only 2 days left to register for our event!,Only 2 days left to register for our event,neutral
66,66,2021-11-08 10:57:52+00:00,6,Twitter Web App,"Amazing news for the UK Cultured Meat sector! @RoslinTech, a biotech from Edinburgh, received a major grant from the UK Government to further develop its technologies 

https://t.co/x3vBSp6djW",Amazing news for the UK Cultured Meat sector RoslinTech a biotech from Edinburgh received a major grant from the UK Government to further develop its technologies,positive
67,67,2021-11-07 20:58:57+00:00,1,Twitter Web App,"We are working on setting up a monthly UK journal club to discuss cellag papers
It should be a fun and very unofficial meet-up, and a good opportunity to meet other people interested in CellAg 

Please fill in this form if you'd like to join https://t.co/WJT5nsCe2G",We are working on setting up a monthly UK journal club to discuss cellag papersIt should be a fun and very unofficial meetup and a good opportunity to meet other people interested in CellAg Please fill in this form if youd like to join,positive
68,68,2021-11-05 08:30:41+00:00,1,Twitter Web App,"Ever wondered what the inside of a cultivated meat factory looks like? Well @upsidefoods have given us all a golden ticket to see inside their amazing new facility. #MakingCultivatedMeat
https://t.co/i13a9UYsOw",Ever wondered what the inside of a cultivated meat factory looks like Well upsidefoods have given us all a golden ticket to see inside their amazing new facility MakingCultivatedMeat,positive
69,69,2021-11-05 08:20:27+00:00,6,Twitter Web App,"Have you signed up to our event yet? Come and find out about the work that @hoxtonfarms do with senior scientist @mirasbek and hear about his career journey into cellular agriculture. #cellagcareers 
https://t.co/N7wfOC7CJN",Have you signed up to our event yet Come and find out about the work that hoxtonfarms do with senior scientist mirasbek and hear about his career journey into cellular agriculture cellagcareers,neutral
70,70,2021-11-05 08:04:21+00:00,1,Twitter Web App,📢 Hoxton Farms is hiring #cellagjobs,Hoxton Farms is hiring cellagjobs,neutral
71,71,2021-10-25 08:52:11+00:00,4,Twitter Web App,"Join us for a webinar with Mirasbek Kuterbekov, senior scientist at @hoxtonfarms  who will talk about his work and career journey into the cellag space, followed by a Q&amp;A session! 
https://t.co/N7wfOC7CJN",Join us for a webinar with Mirasbek Kuterbekov senior scientist at hoxtonfarms who will talk about his work and career journey into the cellag space followed by a QampA session,positive
72,72,2021-10-19 22:16:27+00:00,0,Twitter Web App,"Brilliant TED talk, summarising the key aspects of cellag and why we need it! 

How we could eat real meat without harming animals (Isha Datar | TEDMonterey) https://t.co/iyOHgDm66a via @TEDTalks",Brilliant TED talk summarising the key aspects of cellag and why we need it How we could eat real meat without harming animals Isha Datar TEDMonterey via TEDTalks,positive
73,73,2021-10-17 20:34:17+00:00,1,Twitter Web App,"Less talked about in the area of cellag - compared to cultured meat, but Precision Fermentation is so cool! 🤘",Less talked about in the area of cellag compared to cultured meat but Precision Fermentation is so cool,positive
74,74,2021-10-14 17:30:49+00:00,2,Twitter Web App,Amazing news from @TuftsUniversity and @USDA ! What a milestone! Will the European governments be inspired by this anytime soon?,Amazing news from TuftsUniversity and USDA What a milestone Will the European governments be inspired by this anytime soon,positive
75,75,2021-10-11 08:23:33+00:00,0,Twitter Web App,"Looking forwards to this year's 
 Cultured Meat Symposium 
https://t.co/87ekmcZ8nI @Eventbrite",Looking forwards to this years Cultured Meat Symposium Eventbrite,neutral
